name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Akbarpur,427,Valid,H4,1800.0,Fell,01/01/1838 12:00:00 AM,29.71667,77.95,"(29.71667, 77.95)"
Albareto,453,Valid,L/LL4,2000.0,Fell,01/01/1766 12:00:00 AM,44.65,11.01667,"(44.65, 11.01667)"
Aldsworth,461,Valid,LL5,700.0,Fell,01/01/1835 12:00:00 AM,51.78333,-1.78333,"(51.78333, -1.78333)"
Aleppo,462,Valid,L6,3200.0,Fell,01/01/1873 12:00:00 AM,36.23333,37.13333,"(36.23333, 37.13333)"
Northwest Africa 5815,50693,Valid,L5,256.8,Found,,0.0,0.0,"(0.0, 0.0)"
Ankober,2304,Valid,H4,6500.0,Fell,01/01/1942 12:00:00 AM,9.53333,39.71667,"(9.53333, 39.71667)"
Anlong,2305,Valid,H5,2500.0,Fell,01/01/1971 12:00:00 AM,25.15,105.18333,"(25.15, 105.18333)"
Arbol Solo,2325,Valid,H5,810.0,Fell,01/01/1954 12:00:00 AM,-33.0,-66.0,"(-33.0, -66.0)"
Ashdon,2346,Valid,L6,1300.0,Fell,01/01/1923 12:00:00 AM,52.05,0.3,"(52.05, 0.3)"
Aubres,4893,Valid,Aubrite,800.0,Fell,01/01/1836 12:00:00 AM,44.38333,5.16667,"(44.38333, 5.16667)"
Ausson,4903,Valid,L5,50000.0,Fell,01/01/1858 12:00:00 AM,43.08333,0.58333,"(43.08333, 0.58333)"
Baldwyn,4926,Valid,L6,345.0,Fell,01/01/1922 12:00:00 AM,34.5,-88.66667,"(34.5, -88.66667)"
Barwell,4954,Valid,L5,44000.0,Fell,01/01/1965 12:00:00 AM,52.56528,-1.33972,"(52.56528, -1.33972)"
Bassikounou,44876,Valid,H5,29560.0,Fell,01/01/2006 12:00:00 AM,15.78333,-5.9,"(15.78333, -5.9)"
Bath,4974,Valid,H4,21000.0,Fell,01/01/1892 12:00:00 AM,45.41667,-98.31667,"(45.41667, -98.31667)"
Beni M'hira,5018,Valid,L6,19000.0,Fell,01/01/2001 12:00:00 AM,32.86667,10.8,"(32.86667, 10.8)"
Bhagur,5037,Valid,L6,18.0,Fell,01/01/1877 12:00:00 AM,20.88333,74.83333,"(20.88333, 74.83333)"
Bilanga,5045,Valid,Diogenite,25000.0,Fell,01/01/1999 12:00:00 AM,12.45,-0.08333,"(12.45, -0.08333)"
Bori,5111,Valid,L6,8600.0,Fell,01/01/1894 12:00:00 AM,21.95,78.03333,"(21.95, 78.03333)"
Boumdeid (2011),57167,Valid,L6,3599.0,Fell,01/01/2011 12:00:00 AM,17.17493,-11.34133,"(17.17493, -11.34133)"
Bovedy,5121,Valid,L3,5460.0,Fell,01/01/1969 12:00:00 AM,54.56667,-6.33333,"(54.56667, -6.33333)"
Breitscheid,5134,Valid,H5,1500.0,Fell,01/01/1956 12:00:00 AM,50.66694,8.18361,"(50.66694, 8.18361)"
Bremervörde,5135,Valid,H/L3.9,7250.0,Fell,01/01/1855 12:00:00 AM,53.4,9.1,"(53.4, 9.1)"
Buzzard Coulee,48654,Valid,H4,41000.0,Fell,01/01/2008 12:00:00 AM,52.996,-109.84817,"(52.996, -109.84817)"
Chadong,5313,Valid,L6,3700.0,Fell,01/01/1998 12:00:00 AM,28.53333,109.31667,"(28.53333, 109.31667)"
Chajari,5316,Valid,L5,18300.0,Fell,01/01/1933 12:00:00 AM,-30.78333,-58.05,"(-30.78333, -58.05)"
Charsonville,5329,Valid,H6,27000.0,Fell,01/01/1810 12:00:00 AM,47.93333,1.56667,"(47.93333, 1.56667)"
Colby (Wisconsin),5395,Valid,L6,104000.0,Fell,01/01/1917 12:00:00 AM,44.9,-90.28333,"(44.9, -90.28333)"
Cold Bokkeveld,5397,Valid,CM2,5200.0,Fell,01/01/1838 12:00:00 AM,-33.13333,19.38333,"(-33.13333, 19.38333)"
Devgaon,6694,Valid,H3.8,12000.0,Fell,01/01/2001 12:00:00 AM,19.0,81.0,"(19.0, 81.0)"
Dhajala,6698,Valid,H3.8,45000.0,Fell,01/01/1976 12:00:00 AM,22.37778,71.42722,"(22.37778, 71.42722)"
Djati-Pengilon,7652,Valid,H6,166000.0,Fell,01/01/1884 12:00:00 AM,-7.5,111.5,"(-7.5, 111.5)"
Dong Ujimqin Qi,7706,Valid,Mesosiderite,128800.0,Fell,01/01/1995 12:00:00 AM,45.5,119.03333,"(45.5, 119.03333)"
Dresden (Ontario),7731,Valid,H6,47700.0,Fell,01/01/1939 12:00:00 AM,42.52,-82.26,"(42.52, -82.26)"
El Tigre,7819,Valid,L6,5000.0,Fell,01/01/1993 12:00:00 AM,19.96722,-103.05167,"(19.96722, -103.05167)"
Ensisheim,10039,Valid,LL6,127000.0,Fell,12/23/1491 12:00:00 AM,47.86667,7.35,"(47.86667, 7.35)"
Erevan,10043,Valid,Howardite,107.2,Fell,01/01/1911 12:00:00 AM,40.3,44.5,"(40.3, 44.5)"
Essebi,10055,Valid,C2-ung,500.0,Fell,01/01/1957 12:00:00 AM,2.88333,30.83333,"(2.88333, 30.83333)"
Ferguson,10088,Valid,OC,220.0,Fell,01/01/1889 12:00:00 AM,36.1,-81.41667,"(36.1, -81.41667)"
Fermo,10091,Valid,H3-5,10200.0,Fell,01/01/1996 12:00:00 AM,43.18111,13.75333,"(43.18111, 13.75333)"
Fort Flatters,10166,Valid,Stone-uncl,,Fell,01/01/1944 12:00:00 AM,28.25,7.0,"(28.25, 7.0)"
Fuyang,10840,Valid,Stone-uncl,2500.0,Fell,01/01/1977 12:00:00 AM,32.9,115.9,"(32.9, 115.9)"
Glasatovo,10926,Valid,H4,152000.0,Fell,01/01/1918 12:00:00 AM,57.35,37.61667,"(57.35, 37.61667)"
Guangmingshan,11435,Valid,H5,2910.0,Fell,01/01/1996 12:00:00 AM,39.80417,122.76389,"(39.80417, 122.76389)"
Guangnan,11436,Valid,L6,,Fell,01/01/1983 12:00:00 AM,24.1,105.0,"(24.1, 105.0)"
Gurram Konda,11464,Valid,L6,28.0,Fell,01/01/1814 12:00:00 AM,13.78333,78.56667,"(13.78333, 78.56667)"
